model,ext_F1,ext_cost,ext_F1_per_$,qa_quality,qa_cost,qa_qual_per_$,sum_coverage,sum_cost,sum_cov_per_$,sum_item_pass,total_cost
claude-sonnet-5,0.648,10.4663,0.062,0.797,4.9911,0.16,0.646,2.2371,0.289,0.9958,17.69
deepseek-v4-pro,0.706,2.0665,0.342,0.81,1.0127,0.799,0.486,0.384,1.266,0.9938,3.46
gemini-3.1-pro,0.684,6.4801,0.106,0.835,3.1115,0.268,0.436,1.2562,0.347,0.9979,10.85
gpt-5.6-terra,0.585,6.7081,0.087,0.802,3.063,0.262,0.649,1.4981,0.433,1.0,11.27
llama-3.3-70b,0.486,3.2343,0.15,0.826,1.5987,0.517,0.229,0.549,0.417,0.9688,5.38
